Id_number,Task_name,RT,acc
subject012,2B-Scene,0.883907582,0.723404255
subject012,EasyMath,1.900276789,0.979166667
subject012,FingerTap,0.365693066,1.0
subject012,GoNoGo,1.00282759,0.7628205125
subject012,HardMath,1.99539488,0.983606557
subject120,0B,2.252944943,0.7
subject120,1B,0.8818851,0.916666667
subject120,2B-Face,0.853680285,0.85106383
subject120,2B-Scene,0.933289265,0.840909091
subject120,EasyMath,1.973646649,0.960784314
subject120,FingerTap,0.405895506,1.0
subject120,GoNoGo,0.996862072,0.8386824325
subject120,HardMath,2.409429298,0.914893617
subject121,0B,,0.0
subject121,1B,,0.0
subject121,2B-Face,,0.0
subject121,2B-Scene,1.566254,0.028571429
subject121,EasyMath,2.9172925,0.083333333
subject121,FingerTap,1.215684143,0.84
subject121,GoNoGo,1.010775267,0.5
subject121,HardMath,,0.0
subject122,0B,0.518620389,0.818181818
subject122,1B,1.131571823,1.0
subject122,2B-Face,0.562087658,0.703703704
subject122,2B-Scene,0.624391717,0.816326531
subject122,EasyMath,1.897100985,1.0
subject122,FingerTap,0.339476788,1.0
subject122,GoNoGo,1.051251677,0.7970238095
subject122,HardMath,2.031117235,0.796296296
subject123,0B,0.8760645,1.0
subject123,1B,1.153737845,1.0
subject123,2B-Face,0.993939087,0.794871795
subject123,2B-Scene,1.07074784,0.85106383
subject123,EasyMath,2.111349511,0.959183673
subject123,FingerTap,0.364732363,1.0
subject123,GoNoGo,1.010658145,0.92920354
subject123,HardMath,2.078127873,0.98245614
subject125,0B,1.2669609,0.9
subject125,1B,0.98724926,0.833333333
subject125,2B-Face,0.667586806,0.790697674
subject125,2B-Scene,0.624305634,0.729166667
subject125,EasyMath,1.926587636,1.0
subject125,FingerTap,0.390857328,1.0
subject125,GoNoGo,1.001903826,0.8794037939999999
subject125,HardMath,2.037255969,1.0
subject126,0B,0.70505647,1.0
subject126,1B,0.98999004,1.0
subject126,2B-Face,0.936354586,0.755102041
subject126,2B-Scene,0.85285674,0.909090909
subject126,EasyMath,1.911281498,1.0
subject126,FingerTap,0.496836576,0.981818182
subject126,GoNoGo,0.966775878,0.9139150945000001
subject126,HardMath,2.007161207,0.98245614
subject129,0B,,0.0
subject129,1B,,0.0
subject129,2B-Face,0.817510995,0.678571429
subject129,2B-Scene,0.909932943,0.477272727
subject129,EasyMath,1.884451886,1.0
subject129,FingerTap,0.530725429,0.85
subject129,GoNoGo,0.980085843,0.584740827
subject129,HardMath,2.162185638,0.888888889
subject013,0B,0.635337764,1.0
subject013,1B,1.10949565,0.857142857
subject013,2B-Face,0.946147691,0.914893617
subject013,2B-Scene,0.873847825,0.608695652
subject013,EasyMath,1.90175492,1.0
subject013,FingerTap,0.378504965,1.0
subject013,GoNoGo,1.050308447,0.90892094
subject013,HardMath,2.102498198,0.980769231
subject130,0B,2.32940856,0.909090909
subject130,1B,1.432126445,0.785714286
subject130,2B-Face,1.2733043,0.142857143
subject130,2B-Scene,1.499457314,0.162790698
subject130,EasyMath,2.271071324,0.763157895
subject130,FingerTap,0.610723545,1.0
subject130,GoNoGo,0.993908082,0.468643656
subject130,HardMath,2.460148117,0.714285714
subject131,0B,1.39909333,1.0
